timestamp,person_id,body_height,shoulder_body_ratio,role
1766266578.7828343,22,127.68,2.249,CHILD
1766266578.9728684,22,125.37,2.37,CHILD
1766266579.1769326,22,126.91,2.341,CHILD
1766266579.3609865,22,127.58,2.247,CHILD
1766266579.5500531,22,133.74,2.181,CHILD
1766266579.7391577,22,143.75,2.008,CHILD
1766266579.9382412,22,159.23,1.847,CHILD
1766266580.1253138,22,171.63,1.696,CHILD
1766266580.350487,22,175.07,1.644,CHILD
1766266580.5486805,22,174.17,1.725,CHILD
1766266580.758067,22,176.13,1.589,CHILD
1766266581.0237193,22,172.78,1.739,CHILD
1766266581.2227852,22,174.63,1.694,CHILD
1766266581.4088414,22,166.82,1.739,CHILD
1766266581.6018913,22,164.13,1.832,CHILD
1766266581.8149354,22,167.13,1.838,CHILD
